Competition,Team 1,Team 2,Result,Round,Year,Date
Copa do Brasil,Resende / RJ,Cruzeiro / MG,1 x 2,10,2013
Copa do Brasil,Cianorte / PR,Atlético / GO,1 x 3,10,2013
Copa do Brasil,América / RN,Athlético / PR,2 x 6,10,2013,09/05/2013
Copa do Brasil,Naviraiense / MS,Paysandu / PA,0 x 1,10,2013,08/05/2013
Copa do Brasil,Joinville / SC,Santos / SP,0 x 1,10,2013,08/05/2013
Copa do Brasil,Crac / GO,Ipatinga / MG,3 x 2,10,2013
Copa do Brasil,Luverdense / MT,Bahia / BA,2 x 0,11,2013,08/05/2013
Copa do Brasil,Confiança / SE,Fortaleza / CE,1 x 1,11,2013
Copa do Brasil,Flamengo / RJ,Campinense / PB,2 x 1,11,2013
Copa do Brasil,Internacional / RS,Santa Cruz / PE,2 x 0,11,2013
Copa do Brasil,Avaí / SC,América / MG,0 x 3,11,2013,16/05/2013
Copa do Brasil,Goiás / GO,Santo André / SP,1 x 0,11,2013,15/05/2013
Copa do Brasil,Vitória / BA,Salgueiro / PE,1 x 1,11,2013
Copa do Brasil,Criciúma / SC,Sao Bernardo / SP,3 x 1,11,2013,15/05/2013
Copa do Brasil,Coritiba / PR,Nacional / AM,1 x 0,12,2013,23/05/2013
Copa do Brasil,Figueirense / SC,Arapongas / PR,3 x 1,12,2013,22/05/2013
Copa do Brasil,Cruzeiro / MG,Resende / RJ,4 x 0,12,2013,22/05/2013
Copa do Brasil,Paysandu / PA,Naviraiense / MS,0 x 2,12,2013,15/05/2013
Copa do Brasil,Santos / SP,Joinville / SC,0 x 0,12,2013,22/05/2013
Copa do Brasil,Bahia / BA,Luverdense / MT,1 x 0,13,2013,15/05/2013
Copa do Brasil,Fortaleza / CE,Confiança / SE,4 x 0,13,2013,23/05/2013
Copa do Brasil,Internacional / RS,América / MG,3 x 1,13,2013
Copa do Brasil,Salgueiro / PE,Criciúma / SC,0 x 0,13,2013
Copa do Brasil,Ponte Preta / SP,Nacional / AM,0 x 1,13,2013,10/07/2013
Copa do Brasil,Botafogo / RJ,Figueirense / SC,1 x 0,13,2013,03/07/2013
Copa do Brasil,Cruzeiro / MG,Atlético / GO,5 x 0,13,2013
Copa do Brasil,Paysandu / PA,Athlético / PR,0 x 0,13,2013,18/07/2013
Copa do Brasil,Fortaleza / CE,Luverdense / MT,0 x 0,14,2013
Copa do Brasil,América / MG,Internacional / RS,1 x 1,14,2013,17/07/2013
Copa do Brasil,Criciúma / SC,Salgueiro / PE,1 x 1,14,2013,17/07/2013
Copa do Brasil,Nacional / AM,Ponte Preta / SP,1 x 0,14,2013
Copa do Brasil,Figueirense / SC,Botafogo / RJ,5 x 4,14,2013,24/07/2013
Copa do Brasil,Atlético / GO,Cruzeiro / MG,0 x 1,14,2013,17/07/2013
Copa do Brasil,Athlético / PR,Paysandu / PA,2 x 1,14,2013,24/07/2013
Copa do Brasil, X Santos / SP,Santos / SP,0 x 2,15,2013,24/07/2013
Copa do Brasil,Luverdense / MT,Fortaleza / CE,2 x 1,15,2013,18/07/2013
Copa do Brasil,Luverdense / MT,Corinthians / SP,1 x 0,15,2013,21/08/2013
Copa do Brasil,Santos / SP,Grêmio / RS,1 x 0,15,2013,21/08/2013
Copa do Brasil,Internacional / RS,Salgueiro / PE,3 x 0,15,2013,22/08/2013
Copa do Brasil,Palmeiras / SP,Athlético / PR,1 x 0,15,2013,21/08/2013
Copa do Brasil,Fluminense / RJ,Goiás / GO,1 x 0,15,2013,21/08/2013
Copa do Brasil,Nacional / AM,Vasco da Gama / RJ,0 x 2,15,2013,20/08/2013
Copa do Brasil,Botafogo / RJ,Atlético / MG,4 x 2,15,2013,22/08/2013
Copa do Brasil,Cruzeiro / MG,Flamengo / RJ,2 x 1,15,2013,21/08/2013
Copa do Brasil,Corinthians / SP,Luverdense / MT,2 x 0,16,2013,28/08/2013
Copa do Brasil,Grêmio / RS,Santos / SP,2 x 0,16,2013,28/08/2013
Copa do Brasil,Salgueiro / PE,Internacional / RS,2 x 2,16,2013,29/08/2013
Copa do Brasil,Athlético / PR,Palmeiras / SP,3 x 0,16,2013,28/08/2013
Copa do Brasil,Goiás / GO,Fluminense / RJ,2 x 0,16,2013,28/08/2013
Copa do Brasil,Vasco da Gama / RJ,Nacional / AM,2 x 1,16,2013,29/08/2013
Copa do Brasil,Atlético / MG,Botafogo / RJ,2 x 2,16,2013,28/08/2013
Copa do Brasil,Flamengo / RJ,Cruzeiro / MG,1 x 0,16,2013,28/08/2013
Copa do Brasil,Corinthians / SP,Grêmio / RS,0 x 0,16,2013
Copa do Brasil,Internacional / RS,Athlético / PR,1 x 1,16,2013,26/09/2013
Copa do Brasil,Goiás / GO,Vasco da Gama / RJ,2 x 1,17,2013,25/09/2013
Copa do Brasil,Botafogo / RJ,Flamengo / RJ,1 x 1,17,2013,25/09/2013
Copa do Brasil,Grêmio / RS,Corinthians / SP,3 x 2,17,2013
Copa do Brasil,Athlético / PR,Internacional / RS,0 x 0,17,2013
Copa do Brasil,Vasco da Gama / RJ,Goiás / GO,3 x 2,17,2013
Copa do Brasil,Flamengo / RJ,Botafogo / RJ,4 x 0,17,2013
Copa do Brasil,Athlético / PR,Grêmio / RS,1 x 0,17,2013
Copa do Brasil,Goiás / GO,Flamengo / RJ,1 x 2,17,2013
Copa do Brasil,Grêmio / RS,Athlético / PR,0 x 0,17,2013
Copa do Brasil,Flamengo / RJ,Goiás / GO,2 x 1,17,2013
Copa do Brasil,Athlético / PR,Flamengo / RJ,1 x 1,18,2013,20/11/2013
Copa do Brasil,Flamengo / RJ,Athlético / PR,2 x 0,18,2013,27/11/2013
Copa do Brasil,Real Noroeste Capixaba / ES,Rio Branco / AC,1 x 1,1,2014
Copa do Brasil,Rio Branco / AC,Real Noroeste Capixaba / ES,1 x 0,1,2014
Copa do Brasil,Resende / RJ,Vasco da Gama / RJ,0 x 0,1,2014
Copa do Brasil,Tombense / MG,Treze / PB,1 x 1,1,2014
Copa do Brasil,Nautico / RR,Ponte Preta / SP,1 x 4,1,2014
Copa do Brasil,Sao Bernardo / SP,Paraná / PR,1 x 1,1,2014
Copa do Brasil, Malucelli / PR,Vitória / BA,1 x 1,1,2014
Copa do Brasil,Novo Hamburgo / RS,Joinville / SC,1 x 0,1,2014
Copa do Brasil,Flamengo / PI,Atlético / GO,0 x 1,1,2014
Copa do Brasil,Desportiva / ES,Abc / RN,1 x 0,1,2014
Copa do Brasil,Mixto / MT,Santos / SP,0 x 0,2,2014
Copa do Brasil,Princesa do Solimões / AM,Brasiliense / DF,3 x 1,2,2014
Copa do Brasil,Londrina / PR,Criciúma / SC,2 x 0,2,2014
Copa do Brasil,Goianesia / GO,Grêmio Barueri / SP,2 x 2,2,2014
Copa do Brasil,Vilhena / RO,Palmeiras / SP,0 x 1,2,2014
Copa do Brasil,Interporto / TO,Sampaio Correa / MA,2 x 2,2,2014
Copa do Brasil,Naviraiense / MS,Avaí / SC,1 x 4,2,2014
Copa do Brasil,Horizonte / CE,Fluminense / RJ,3 x 1,2,2014
Copa do Brasil,Juazeiro / BA,Tupi / MG,0 x 2,2,2014
