Competition,Team 1,Team 2,Result,Round,Year,Date
Serie C,Madureira / RJ,Grêmio Barueri / SP,6 x 0,9,2013,10/08/2013
Serie C,Vila Nova / GO,Macae / RJ,0 x 1,9,2013,11/08/2013
Serie C,Caxias / RS,Duque de Caxias / RJ,0 x 0,9,2013
Serie C,Fortaleza / CE,Baraúnas / RN,3 x 0,10,2013,18/08/2013
Serie C, X Aguia / PA,Aguia / PA,3 x 1,10,2013,18/08/2013
Serie C,Luverdense / MT,Santa Cruz / PE,3 x 1,10,2013,18/08/2013
Serie C,Treze / PB,Cuiabá / MT,2 x 0,10,2013,18/08/2013
Serie C,Brasiliense / DF,Sampaio Correa / MA,2 x 1,10,2013,18/08/2013
Serie C,Guarani / SP,Madureira / RJ,0 x 0,10,2013,17/08/2013
Serie C,Grêmio Barueri / SP,Vila Nova / GO,2 x 3,10,2013,18/08/2013
Serie C,Macae / RJ,Caxias / RS,2 x 0,10,2013,17/08/2013
Serie C,Duque de Caxias / RJ,Mogi Mirim / SP,3 x 1,10,2013,17/08/2013
Serie C,Sampaio Correa / MA,Treze / PB,4 x 2,11,2013,25/08/2013
Serie C,Baraúnas / RN,Brasiliense / DF,0 x 1,11,2013,25/08/2013
Serie C,Aguia / PA,Fortaleza / CE,1 x 1,11,2013,25/08/2013
Serie C,Cuiabá / MT,Luverdense / MT,1 x 2,11,2013,25/08/2013
Serie C,Mogi Mirim / SP,Guarani / SP,1 x 1,11,2013
Serie C,Madureira / RJ,Macae / RJ,2 x 2,11,2013
Serie C,Vila Nova / GO,Duque de Caxias / RJ,1 x 1,11,2013,25/08/2013
Serie C,Caxias / RS,Betim / MG,1 x 2,11,2013
Serie C,Sampaio Correa / MA,Aguia / PA,0 x 1,12,2013
Serie C, X Fortaleza / CE,Fortaleza / CE,2 x 0,12,2013,01/09/2013
Serie C,Luverdense / MT,Brasiliense / DF,1 x 0,12,2013,01/09/2013
Serie C,Treze / PB,Baraúnas / RN,1 x 0,12,2013,04/09/2013
Serie C,Cuiabá / MT,Santa Cruz / PE,1 x 3,12,2013,01/09/2013
Serie C,Betim / MG,Grêmio Barueri / SP,3 x 3,12,2013,31/08/2013
Serie C,Guarani / SP,Caxias / RS,0 x 1,12,2013,31/08/2013
Serie C,Vila Nova / GO,Mogi Mirim / SP,1 x 0,12,2013,01/09/2013
Serie C,Duque de Caxias / RJ,Macae / RJ,1 x 1,12,2013
Serie C,Fortaleza / CE,Santa Cruz / PE,2 x 0,13,2013,08/09/2013
Serie C,Baraúnas / RN,Sampaio Correa / MA,1 x 0,13,2013,08/09/2013
Serie C,Aguia / PA,Cuiabá / MT,0 x 0,13,2013,08/09/2013
Serie C,Treze / PB,Luverdense / MT,1 x 0,13,2013,08/09/2013
Serie C,Mogi Mirim / SP,Caxias / RS,2 x 1,13,2013,07/09/2013
Serie C,Grêmio Barueri / SP,Guarani / SP,1 x 1,13,2013,07/09/2013
Serie C,Macae / RJ,Betim / MG,0 x 0,13,2013,08/09/2013
Serie C,Duque de Caxias / RJ,Madureira / RJ,0 x 0,13,2013,08/09/2013
Serie C,Fortaleza / CE,Brasiliense / DF,2 x 2,14,2013,15/09/2013
Serie C, X Treze / PB,Treze / PB,0 x 1,14,2013,15/09/2013
Serie C,Luverdense / MT,Sampaio Correa / MA,2 x 2,14,2013,15/09/2013
Serie C,Santa Cruz / PE,Aguia / PA,3 x 2,14,2013,15/09/2013
Serie C,Cuiabá / MT,Baraúnas / RN,3 x 1,14,2013,15/09/2013
Serie C,Betim / MG,Duque de Caxias / RJ,1 x 0,14,2013,02/10/2013
Serie C,Guarani / SP,Macae / RJ,4 x 4,14,2013,14/09/2013
Serie C,Grêmio Barueri / SP,Mogi Mirim / SP,0 x 1,14,2013,14/09/2013
Serie C,Vila Nova / GO,Madureira / RJ,0 x 0,14,2013,14/09/2013
Serie C,Sampaio Correa / MA,Cuiabá / MT,0 x 0,15,2013
Serie C,Baraúnas / RN,Santa Cruz / PE,1 x 3,15,2013
Serie C,Treze / PB,Fortaleza / CE,2 x 0,15,2013,22/09/2013
Serie C,Brasiliense / DF,Aguia / PA,2 x 0,15,2013,22/09/2013
Serie C,Betim / MG,Vila Nova / GO,0 x 0,15,2013,25/09/2013
Serie C, GOMogi Mirim / SP,Mogi Mirim / SP,0 x 1,15,2013
Serie C,Madureira / RJ,Caxias / RS,1 x 1,15,2013,21/09/2013
Serie C,Macae / RJ,Grêmio Barueri / SP,4 x 0,15,2013,21/09/2013
Serie C,Duque de Caxias / RJ,Guarani / SP,2 x 1,15,2013,21/09/2013
Serie C,Fortaleza / CE,Luverdense / MT,2 x 1,16,2013,28/09/2013
Serie C, X Cuiabá / MT,Cuiabá / MT,1 x 1,16,2013,29/09/2013
Serie C,Aguia / PA,Baraúnas / RN,3 x 1,16,2013,29/09/2013
Serie C,Santa Cruz / PE,Sampaio Correa / MA,0 x 0,16,2013,29/09/2013
Serie C,Brasiliense / DF,Treze / PB,2 x 2,16,2013
Serie C,Mogi Mirim / SP,Madureira / RJ,1 x 1,16,2013,28/09/2013
Serie C,Guarani / SP,Betim / MG,1 x 2,16,2013,29/09/2013
Serie C,Grêmio Barueri / SP,Duque de Caxias / RJ,3 x 2,16,2013,28/09/2013
