Competition,Team 1,Team 2,Result,Round,Year,Date
Serie C,Vila Nova / GO,Icasa / CE,2 x 0,4,2015
Serie C,Confiança / SE,Águia de Marabá / PA,1 x 1,4,2015
Serie C,Botafogo / PB,Cuiabá / MT,0 x 0,4,2015
Serie C,América / RN,Salgueiro / PE,2 x 2,4,2015
Serie C,Juventude / RS,Guarani / SP,1 x 1,4,2015
Serie C,Tupi / MG,Madureira / RJ,3 x 3,4,2015
Serie C,Londrina / PR,Tombense / MG,1 x 0,4,2015
Serie C,Caxias / RS,Brasil / RS,1 x 2,4,2015
Serie C,Guaratinguetá / SP,Portuguesa / SP,0 x 3,4,2015
Serie C,Salgueiro / PE,Fortaleza / CE,0 x 1,5,2015
Serie C,Vila Nova / GO,América / RN,0 x 1,5,2015
Serie C,Águia de Marabá / PA,Botafogo / PB,2 x 2,5,2015
Serie C,Icasa / CE,Confiança / SE,2 x 3,5,2015
Serie C,Asa / AL,Cuiabá / MT,1 x 0,5,2015
Serie C,Madureira / RJ,Juventude / RS,3 x 4,5,2015
Serie C,Tombense / MG,Guarani / SP,1 x 2,5,2015
Serie C,Guaratinguetá / SP,Caxias / RS,0 x 0,5,2015
Serie C,Brasil / RS,Londrina / PR,3 x 1,5,2015
Serie C,Portuguesa / SP,Tupi / MG,0 x 1,5,2015
Serie C,Águia de Marabá / PA,Asa / AL,1 x 2,6,2015
Serie C,Fortaleza / CE,América / RN,1 x 0,6,2015
Serie C,Confiança / SE,Vila Nova / GO,0 x 0,6,2015
Serie C,Botafogo / PB,Icasa / CE,2 x 0,6,2015
Serie C,Cuiabá / MT,Salgueiro / PE,0 x 1,6,2015
Serie C,Caxias / RS,Tupi / MG,0 x 1,6,2015
Serie C,Guarani / SP,Madureira / RJ,0 x 0,6,2015
Serie C,Tombense / MG,Brasil / RS,0 x 0,6,2015
Serie C,Londrina / PR,Guaratinguetá / SP,0 x 0,6,2015
Serie C,Juventude / RS,Portuguesa / SP,3 x 2,6,2015
Serie C,Confiança / SE,Fortaleza / CE,1 x 0,7,2015
Serie C,América / RN,Cuiabá / MT,2 x 1,7,2015
Serie C,Icasa / CE,Águia de Marabá / PA,2 x 0,7,2015
Serie C,Vila Nova / GO,Botafogo / PB,2 x 0,7,2015
Serie C,Salgueiro / PE,Asa / AL,1 x 1,7,2015
Serie C,Tupi / MG,Juventude / RS,1 x 1,7,2015
Serie C,Caxias / RS,Londrina / PR,1 x 1,7,2015
Serie C,Guaratinguetá / SP,Tombense / MG,0 x 2,7,2015
Serie C,Brasil / RS,Madureira / RJ,3 x 1,7,2015
Serie C,Portuguesa / SP,Guarani / SP,1 x 0,7,2015
Serie C,Fortaleza / CE,Botafogo / PB,3 x 0,8,2015
Serie C,Asa / AL,Icasa / CE,3 x 1,8,2015
Serie C,Salgueiro / PE,Vila Nova / GO,0 x 1,8,2015
Serie C,América / RN,Confiança / SE,2 x 0,8,2015
Serie C,Cuiabá / MT,Águia de Marabá / PA,2 x 1,8,2015
Serie C,Madureira / RJ,Guaratinguetá / SP,2 x 0,8,2015
Serie C,Tupi / MG,Londrina / PR,0 x 1,8,2015
Serie C,Portuguesa / SP,Caxias / RS,3 x 0,8,2015
Serie C,Guarani / SP,Brasil / RS,2 x 2,8,2015
Serie C,Juventude / RS,Tombense / MG,1 x 0,8,2015
Serie C,Águia de Marabá / PA,Fortaleza / CE,2 x 2,9,2015
Serie C,Icasa / CE,Cuiabá / MT,1 x 4,9,2015
Serie C,Vila Nova / GO,Asa / AL,3 x 0,9,2015
Serie C,Confiança / SE,Salgueiro / PE,2 x 0,9,2015
Serie C,Botafogo / PB,América / RN,1 x 0,9,2015
Serie C,Caxias / RS,Guarani / SP,0 x 2,9,2015
Serie C,Tombense / MG,Portuguesa / SP,2 x 2,9,2015
Serie C,Londrina / PR,Madureira / RJ,0 x 0,9,2015
Serie C,Guaratinguetá / SP,Juventude / RS,2 x 3,9,2015
Serie C,Brasil / RS,Tupi / MG,0 x 0,9,2015
Serie C,Madureira / RJ,Caxias / RS,2 x 2,10,2015
Serie C,Tupi / MG,Tombense / MG,1 x 1,10,2015
Serie C,Juventude / RS,Brasil / RS,2 x 3,10,2015
Serie C,América / RN,Águia de Marabá / PA,2 x 0,10,2015
Serie C,Fortaleza / CE,Icasa / CE,2 x 0,10,2015
Serie C,Salgueiro / PE,Botafogo / PB,4 x 1,10,2015
Serie C,Cuiabá / MT,Vila Nova / GO,1 x 1,10,2015
Serie C,Asa / AL,Confiança / SE,1 x 0,10,2015
Serie C,Portuguesa / SP,Londrina / PR,1 x 1,10,2015
Serie C,Guarani / SP,Guaratinguetá / SP,1 x 0,10,2015
Serie C,Tombense / MG,Madureira / RJ,1 x 1,11,2015
Serie C,Vila Nova / GO,Fortaleza / CE,0 x 0,11,2015
Serie C,Águia de Marabá / PA,Salgueiro / PE,0 x 0,11,2015
Serie C,Icasa / CE,América / RN,1 x 0,11,2015
Serie C,Confiança / SE,Cuiabá / MT,4 x 1,11,2015
Serie C,Botafogo / PB,Asa / AL,2 x 2,11,2015
Serie C,Guaratinguetá / SP,Tupi / MG,0 x 1,11,2015
Serie C,Londrina / PR,Guarani / SP,2 x 2,11,2015
Serie C,Brasil / RS,Portuguesa / SP,4 x 1,11,2015
Serie C,Caxias / RS,Juventude / RS,0 x 0,11,2015
Serie C,Tupi / MG,Guarani / SP,1 x 0,12,2015
Serie C,Caxias / RS,Tombense / MG,1 x 2,12,2015
Serie C,Fortaleza / CE,Cuiabá / MT,1 x 0,12,2015
Serie C,Vila Nova / GO,Águia de Marabá / PA,1 x 0,12,2015
Serie C,Confiança / SE,Botafogo / PB,1 x 2,12,2015
Serie C,Salgueiro / PE,Icasa / CE,1 x 1,12,2015
Serie C,América / RN,Asa / AL,2 x 0,12,2015
Serie C,Guaratinguetá / SP,Brasil / RS,2 x 1,12,2015
Serie C,Portuguesa / SP,Madureira / RJ,4 x 2,12,2015
Serie C,Juventude / RS,Londrina / PR,1 x 3,12,2015
Serie C,Madureira / RJ,Tupi / MG,1 x 1,13,2015
Serie C,Tombense / MG,Londrina / PR,0 x 1,13,2015
Serie C,Portuguesa / SP,Guaratinguetá / SP,2 x 1,13,2015
Serie C,Guarani / SP,Juventude / RS,1 x 1,13,2015
Serie C,Águia de Marabá / PA,Confiança / SE,1 x 2,13,2015
Serie C,Icasa / CE,Vila Nova / GO,0 x 3,13,2015
Serie C,Salgueiro / PE,América / RN,1 x 1,13,2015
Serie C,Cuiabá / MT,Botafogo / PB,1 x 2,13,2015
Serie C,Brasil / RS,Caxias / RS,1 x 1,13,2015
Serie C,Asa / AL,Fortaleza / CE,1 x 0,13,2015
Serie C,Juventude / RS,Madureira / RJ,5 x 0,14,2015
Serie C,Tupi / MG,Portuguesa / SP,1 x 0,14,2015
Serie C,América / RN,Vila Nova / GO,2 x 1,14,2015
Serie C,Fortaleza / CE,Salgueiro / PE,4 x 2,14,2015
Serie C,Cuiabá / MT,Asa / AL,3 x 1,14,2015
Serie C,Botafogo / PB,Águia de Marabá / PA,1 x 2,14,2015
Serie C,Londrina / PR,Brasil / RS,2 x 1,14,2015
Serie C,Caxias / RS,Guaratinguetá / SP,2 x 3,14,2015
Serie C,Guarani / SP,Tombense / MG,1 x 0,14,2015
Serie C,Madureira / RJ,Guarani / SP,0 x 0,15,2015
Serie C,Vila Nova / GO,Confiança / SE,1 x 2,15,2015
Serie C,Tupi / MG,Caxias / RS,2 x 0,15,2015
Serie C,Icasa / CE,Botafogo / PB,1 x 4,15,2015
Serie C,Asa / AL,Águia de Marabá / PA,1 x 0,15,2015
Serie C,Salgueiro / PE,Cuiabá / MT,0 x 0,15,2015
Serie C,América / RN,Fortaleza / CE,0 x 0,15,2015
Serie C,Guaratinguetá / SP,Londrina / PR,2 x 1,15,2015
Serie C,Portuguesa / SP,Juventude / RS,4 x 2,15,2015
Serie C,Brasil / RS,Tombense / MG,2 x 2,15,2015
Serie C,Madureira / RJ,Brasil / RS,1 x 1,16,2015
Serie C,Tombense / MG,Guaratinguetá / SP,3 x 3,16,2015
Serie C,Londrina / PR,Caxias / RS,1 x 1,16,2015
Serie C,Águia de Marabá / PA,Icasa / CE,3 x 2,16,2015
Serie C,Fortaleza / CE,Confiança / SE,1 x 1,16,2015
Serie C,Asa / AL,Salgueiro / PE,1 x 0,16,2015
Serie C,Cuiabá / MT,América / RN,2 x 2,16,2015
Serie C,Botafogo / PB,Vila Nova / GO,1 x 2,16,2015
Serie C,Guarani / SP,Portuguesa / SP,1 x 0,16,2015
Serie C,Juventude / RS,Tupi / MG,2 x 0,16,2015
Serie C,Vila Nova / GO,Salgueiro / PE,2 x 1,17,2015
Serie C,Tombense / MG,Juventude / RS,0 x 0,17,2015
Serie C,Brasil / RS,Guarani / SP,1 x 2,17,2015
Serie C,Águia de Marabá / PA,Cuiabá / MT,3 x 1,17,2015
Serie C,Icasa / CE,Asa / AL,1 x 3,17,2015
Serie C,Confiança / SE,América / RN,1 x 0,17,2015
Serie C,Botafogo / PB,Fortaleza / CE,2 x 2,17,2015
Serie C,Guaratinguetá / SP,Madureira / RJ,5 x 0,17,2015
Serie C,Londrina / PR,Tupi / MG,3 x 0,17,2015
Serie C,Caxias / RS,Portuguesa / SP,1 x 2,17,2015
Serie C,América / RN,Botafogo / PB,4 x 1,18,2015
Serie C,Fortaleza / CE,Águia de Marabá / PA,4 x 1,18,2015
Serie C,Cuiabá / MT,Icasa / CE,2 x 1,18,2015
Serie C,Asa / AL,Vila Nova / GO,1 x 0,18,2015
Serie C,Salgueiro / PE,Confiança / SE,0 x 1,18,2015
Serie C,Tupi / MG,Brasil / RS,0 x 2,18,2015
Serie C,Portuguesa / SP,Tombense / MG,1 x 0,18,2015
Serie C,Madureira / RJ,Londrina / PR,0 x 1,18,2015
Serie C,Guarani / SP,Caxias / RS,5 x 3,18,2015
Serie C,Juventude / RS,Guaratinguetá / SP,3 x 0,18,2015
Serie C,Brasil / RS,Fortaleza / CE,1 x 0,19,2015
Serie C,Fortaleza / CE,Brasil / RS,0 x 0,19,2015
Serie C,Vila Nova / GO,Portuguesa / SP,1 x 0,19,2015
Serie C,Portuguesa / SP,Vila Nova / GO,1 x 2,19,2015
Serie C,Tupi / MG,Asa / AL,2 x 0,19,2015
Serie C,Asa / AL,Tupi / MG,1 x 2,19,2015
Serie C,Confiança / SE,Londrina / PR,0 x 0,19,2015
Serie C,Londrina / PR,Confiança / SE,1 x 0,19,2015
Serie C,Brasil / RS,Vila Nova / GO,0 x 0,19,2015
Serie C,Vila Nova / GO,Brasil / RS,4 x 3,19,2015
Serie C,Tupi / MG,Londrina / PR,0 x 0,20,2015
Serie C,Londrina / PR,Tupi / MG,5 x 3,20,2015
Serie C,Londrina / PR,Vila Nova / GO,1 x 0,20,2015
Serie C,Vila Nova / GO,Londrina / PR,4 x 1,20,2015,21/11/2015
Serie C,América / RN,Abc / RN,1 x 0,1,2016
Serie C,Cuiabá / MT,Remo / PA,1 x 1,1,2016
Serie C,Fortaleza / CE,Ríver / PI,1 x 1,1,2016
Serie C,Salgueiro / PE,Botafogo / PB,1 x 0,1,2016
Serie C,Asa / AL,Confiança / SE,1 x 1,1,2016
Serie C,Botafogo / SP,Mogi Mirim / SP,1 x 0,1,2016
Serie C,Portuguesa / SP,Macaé / RJ,1 x 2,1,2016
Serie C,Boa / MG,Tombense / MG,1 x 1,1,2016
Serie C,Guarani / SP,Guaratinguetá / SP,4 x 0,1,2016
Serie C,Juventude / RS,Ypiranga / RS,1 x 1,1,2016
Serie C,Abc / RN,Salgueiro / PE,2 x 0,2,2016
Serie C,Remo / PA,Asa / AL,0 x 1,2,2016
Serie C,Ríver / PI,América / RN,2 x 3,2,2016
Serie C,Botafogo / PB,Cuiabá / MT,1 x 0,2,2016
Serie C,Confiança / SE,Fortaleza / CE,0 x 2,2,2016
Serie C,Mogi Mirim / SP,Portuguesa / SP,0 x 0,2,2016
Serie C,Macaé / RJ,Boa / MG,1 x 5,2,2016
Serie C,Tombense / MG,Guarani / SP,1 x 1,2,2016
Serie C,Guaratinguetá / SP,Juventude / RS,0 x 5,2,2016
Serie C,Ypiranga / RS,Botafogo / SP,2 x 1,2,2016
Serie C,América / RN,Fortaleza / CE,0 x 3,3,2016
Serie C,Cuiabá / MT,Confiança / SE,3 x 0,3,2016
Serie C,Ríver / PI,Remo / PA,1 x 2,3,2016
Serie C,Botafogo / PB,Abc / RN,2 x 0,3,2016
Serie C,Asa / AL,Salgueiro / PE,0 x 0,3,2016
Serie C,Botafogo / SP,Boa / MG,2 x 0,3,2016
Serie C,Portuguesa / SP,Ypiranga / RS,3 x 1,3,2016
Serie C,Tombense / MG,Macaé / RJ,1 x 0,3,2016
Serie C,Guaratinguetá / SP,Mogi Mirim / SP,0 x 1,3,2016
Serie C,Juventude / RS,Guarani / SP,0 x 2,3,2016
Serie C,Abc / RN,Confiança / SE,0 x 0,4,2016
Serie C,Remo / PA,Botafogo / PB,0 x 0,4,2016
Serie C,Fortaleza / CE,Cuiabá / MT,2 x 0,4,2016
Serie C,Salgueiro / PE,América / RN,2 x 0,4,2016
Serie C,Asa / AL,Ríver / PI,0 x 0,4,2016
Serie C,Mogi Mirim / SP,Tombense / MG,1 x 1,4,2016
Serie C,Portuguesa / SP,Botafogo / SP,0 x 5,4,2016
Serie C,Boa / MG,Juventude / RS,2 x 1,4,2016
Serie C,Guarani / SP,Macaé / RJ,1 x 0,4,2016
Serie C,Ypiranga / RS,Guaratinguetá / SP,3 x 2,4,2016
Serie C,América / RN,Asa / AL,1 x 2,5,2016
Serie C,Cuiabá / MT,Salgueiro / PE,0 x 0,5,2016
Serie C,Fortaleza / CE,Abc / RN,0 x 1,5,2016
Serie C,Botafogo / PB,Ríver / PI,2 x 1,5,2016
Serie C,Confiança / SE,Remo / PA,3 x 5,5,2016
Serie C,Botafogo / SP,Guaratinguetá / SP,6 x 2,5,2016
Serie C,Macaé / RJ,Mogi Mirim / SP,0 x 1,5,2016
Serie C,Tombense / MG,Ypiranga / RS,4 x 0,5,2016
Serie C,Guarani / SP,Boa / MG,2 x 1,5,2016
Serie C,Juventude / RS,Portuguesa / SP,1 x 2,5,2016
Serie C,América / RN,Botafogo / PB,1 x 1,6,2016
Serie C,Remo / PA,Abc / RN,1 x 1,6,2016
Serie C,Ríver / PI,Confiança / SE,1 x 2,6,2016
Serie C,Salgueiro / PE,Fortaleza / CE,1 x 1,6,2016
Serie C,Asa / AL,Cuiabá / MT,1 x 0,6,2016
Serie C,Botafogo / SP,Juventude / RS,1 x 1,6,2016
Serie C,Portuguesa / SP,Guarani / SP,0 x 0,6,2016
Serie C,Boa / MG,Mogi Mirim / SP,1 x 1,6,2016
Serie C,Guaratinguetá / SP,Tombense / MG,2 x 2,6,2016
Serie C,Ypiranga / RS,Macaé / RJ,2 x 0,6,2016
Serie C,Abc / RN,Ríver / PI,4 x 0,7,2016
Serie C,Cuiabá / MT,América / RN,2 x 2,7,2016
Serie C,Fortaleza / CE,Asa / AL,2 x 1,7,2016
Serie C,Salgueiro / PE,Remo / PA,1 x 0,7,2016
Serie C,Confiança / SE,Botafogo / PB,1 x 1,7,2016
Serie C,Mogi Mirim / SP,Ypiranga / RS,3 x 1,7,2016
Serie C,Macaé / RJ,Guaratinguetá / SP,3 x 1,7,2016
Serie C,Boa / MG,Portuguesa / SP,1 x 0,7,2016
Serie C,Guarani / SP,Botafogo / SP,0 x 0,7,2016
Serie C,Juventude / RS,Tombense / MG,3 x 0,7,2016
Serie C,Abc / RN,Cuiabá / MT,2 x 1,8,2016
Serie C,Remo / PA,Fortaleza / CE,2 x 0,8,2016
Serie C,Ríver / PI,Salgueiro / PE,1 x 0,8,2016
Serie C,Botafogo / PB,Asa / AL,2 x 0,8,2016
Serie C,Confiança / SE,América / RN,0 x 2,8,2016
Serie C,Mogi Mirim / SP,Guarani / SP,1 x 0,8,2016
Serie C,Macaé / RJ,Juventude / RS,1 x 2,8,2016
Serie C,Tombense / MG,Botafogo / SP,3 x 1,8,2016
Serie C,Guaratinguetá / SP,Portuguesa / SP,2 x 1,8,2016
Serie C,Ypiranga / RS,Boa / MG,1 x 0,8,2016
Serie C,América / RN,Remo / PA,1 x 1,9,2016
Serie C,Cuiabá / MT,Ríver / PI,0 x 1,9,2016
Serie C,Fortaleza / CE,Botafogo / PB,1 x 0,9,2016
Serie C,Salgueiro / PE,Confiança / SE,1 x 1,9,2016
Serie C,Asa / AL,Abc / RN,2 x 1,9,2016
Serie C,Botafogo / SP,Macaé / RJ,1 x 1,9,2016
Serie C,Portuguesa / SP,Tombense / MG,0 x 2,9,2016
Serie C,Boa / MG,Guaratinguetá / SP,4 x 0,9,2016
Serie C,Guarani / SP,Ypiranga / RS,2 x 1,9,2016
Serie C,Juventude / RS,Mogi Mirim / SP,2 x 1,9,2016
Serie C,Abc / RN,América / RN,1 x 0,10,2016
Serie C,Remo / PA,Cuiabá / MT,2 x 0,10,2016
Serie C,Ríver / PI,Fortaleza / CE,1 x 1,10,2016
Serie C,Botafogo / PB,Salgueiro / PE,2 x 0,10,2016
Serie C,Confiança / SE,Asa / AL,1 x 0,10,2016
Serie C,Mogi Mirim / SP,Botafogo / SP,0 x 0,10,2016
Serie C,Macaé / RJ,Portuguesa / SP,1 x 0,10,2016
Serie C,Tombense / MG,Boa / MG,0 x 1,10,2016
Serie C,Guaratinguetá / SP,Guarani / SP,0 x 1,10,2016
Serie C,Ypiranga / RS,Juventude / RS,0 x 0,10,2016
Serie C,América / RN,Ríver / PI,1 x 1,11,2016
Serie C,Cuiabá / MT,Botafogo / PB,2 x 0,11,2016
Serie C,Fortaleza / CE,Confiança / SE,2 x 2,11,2016
Serie C,Salgueiro / PE,Abc / RN,1 x 0,11,2016
Serie C,Asa / AL,Remo / PA,2 x 2,11,2016
Serie C,Botafogo / SP,Ypiranga / RS,1 x 0,11,2016
Serie C,Portuguesa / SP,Mogi Mirim / SP,1 x 0,11,2016
Serie C,Boa / MG,Macaé / RJ,2 x 0,11,2016
Serie C,Guarani / SP,Tombense / MG,2 x 0,11,2016
Serie C,Juventude / RS,Guaratinguetá / SP,4 x 0,11,2016
Serie C,Abc / RN,Botafogo / PB,1 x 1,12,2016
Serie C,Remo / PA,Ríver / PI,1 x 0,12,2016
Serie C,Fortaleza / CE,América / RN,2 x 1,12,2016
Serie C,Salgueiro / PE,Asa / AL,0 x 1,12,2016
Serie C,Confiança / SE,Cuiabá / MT,1 x 1,12,2016
Serie C,Mogi Mirim / SP,Guaratinguetá / SP,2 x 1,12,2016
Serie C,Macaé / RJ,Tombense / MG,0 x 0,12,2016
Serie C,Boa / MG,Botafogo / SP,0 x 0,12,2016
Serie C,Guarani / SP,Juventude / RS,1 x 1,12,2016
Serie C,Ypiranga / RS,Portuguesa / SP,1 x 0,12,2016
Serie C,América / RN,Salgueiro / PE,2 x 0,13,2016
Serie C,Cuiabá / MT,Fortaleza / CE,2 x 0,13,2016
Serie C,Ríver / PI,Asa / AL,0 x 0,13,2016
Serie C,Botafogo / PB,Remo / PA,2 x 0,13,2016
Serie C,Confiança / SE,Abc / RN,1 x 1,13,2016
Serie C,Botafogo / SP,Portuguesa / SP,2 x 1,13,2016
Serie C,Macaé / RJ,Guarani / SP,2 x 4,13,2016
Serie C,Tombense / MG,Mogi Mirim / SP,4 x 0,13,2016
Serie C,Guaratinguetá / SP,Ypiranga / RS,1 x 3,13,2016
Serie C,Juventude / RS,Boa / MG,1 x 1,13,2016
Serie C,Abc / RN,Fortaleza / CE,2 x 1,14,2016
Serie C,Remo / PA,Confiança / SE,2 x 0,14,2016
Serie C,Ríver / PI,Botafogo / PB,2 x 2,14,2016
Serie C,Salgueiro / PE,Cuiabá / MT,2 x 2,14,2016
Serie C,Asa / AL,América / RN,2 x 0,14,2016
Serie C,Mogi Mirim / SP,Macaé / RJ,0 x 0,14,2016
Serie C,Portuguesa / SP,Juventude / RS,1 x 2,14,2016
Serie C,Boa / MG,Guarani / SP,1 x 0,14,2016
Serie C,Guaratinguetá / SP,Botafogo / SP,0 x 4,14,2016
Serie C,Ypiranga / RS,Tombense / MG,2 x 1,14,2016
Serie C,Abc / RN,Remo / PA,2 x 0,15,2016
Serie C,Cuiabá / MT,Asa / AL,2 x 0,15,2016
Serie C,Fortaleza / CE,Salgueiro / PE,3 x 1,15,2016
Serie C,Botafogo / PB,América / RN,1 x 2,15,2016
Serie C,Confiança / SE,Ríver / PI,4 x 1,15,2016
Serie C,Mogi Mirim / SP,Boa / MG,0 x 0,15,2016
Serie C,Macaé / RJ,Ypiranga / RS,0 x 2,15,2016
Serie C,Tombense / MG,Guaratinguetá / SP,2 x 1,15,2016
Serie C,Guarani / SP,Portuguesa / SP,1 x 0,15,2016
Serie C,Juventude / RS,Botafogo / SP,0 x 0,15,2016
Serie C,América / RN,Cuiabá / MT,0 x 1,16,2016
Serie C,Remo / PA,Salgueiro / PE,1 x 1,16,2016
Serie C,Ríver / PI,Abc / RN,0 x 2,16,2016
Serie C,Botafogo / PB,Confiança / SE,2 x 1,16,2016
Serie C,Asa / AL,Fortaleza / CE,1 x 1,16,2016
Serie C,Botafogo / SP,Guarani / SP,1 x 2,16,2016
Serie C,Portuguesa / SP,Boa / MG,0 x 2,16,2016
Serie C,Tombense / MG,Juventude / RS,3 x 0,16,2016
Serie C,Guaratinguetá / SP,Macaé / RJ,0 x 3,16,2016
Serie C,Ypiranga / RS,Mogi Mirim / SP,0 x 0,16,2016
Serie C,América / RN,Confiança / SE,0 x 2,17,2016
Serie C,Cuiabá / MT,Abc / RN,2 x 2,17,2016
Serie C,Fortaleza / CE,Remo / PA,4 x 1,17,2016
Serie C,Salgueiro / PE,Ríver / PI,1 x 0,17,2016
Serie C,Asa / AL,Botafogo / PB,0 x 0,17,2016
Serie C,Botafogo / SP,Tombense / MG,1 x 0,17,2016
Serie C,Portuguesa / SP,Guaratinguetá / SP,3 x 1,17,2016
Serie C,Boa / MG,Ypiranga / RS,2 x 0,17,2016
Serie C,Guarani / SP,Mogi Mirim / SP,1 x 0,17,2016
Serie C,Juventude / RS,Macaé / RJ,2 x 1,17,2016
Serie C,Abc / RN,Asa / AL,2 x 2,18,2016
Serie C,Remo / PA,América / RN,0 x 0,18,2016
Serie C,Ríver / PI,Cuiabá / MT,0 x 0,18,2016
Serie C,Botafogo / PB,Fortaleza / CE,0 x 0,18,2016
Serie C,Confiança / SE,Salgueiro / PE,2 x 1,18,2016
Serie C,Mogi Mirim / SP,Juventude / RS,1 x 2,18,2016
Serie C,Macaé / RJ,Botafogo / SP,1 x 1,18,2016
Serie C,Tombense / MG,Portuguesa / SP,2 x 0,18,2016
Serie C,Guaratinguetá / SP,Boa / MG,0 x 4,18,2016
Serie C,Ypiranga / RS,Guarani / SP,2 x 2,18,2016
Serie C,Juventude / RS,Fortaleza / CE,0 x 0,19,2016,03/10/2016
Serie C,Botafogo / PB,Boa / MG,0 x 0,19,2016,30/09/2016
Serie C,Botafogo / SP,Abc / RN,0 x 0,19,2016
Serie C,Asa / AL,Guarani / SP,3 x 1,19,2016
Serie C,Fortaleza / CE,Juventude / RS,1 x 1,19,2016
Serie C,Boa / MG,Botafogo / PB,1 x 0,19,2016
Serie C,Abc / RN,Botafogo / SP,1 x 0,19,2016,07/10/2016
Serie C,Guarani / SP,Asa / AL,3 x 0,19,2016,08/10/2016
Serie C,Juventude / RS,Boa / MG,1 x 2,19,2016
Serie C,Boa / MG,Juventude / RS,2 x 1,19,2016
Serie C,Abc / RN,Guarani / SP,4 x 0,20,2016
Serie C,Guarani / SP,Abc / RN,6 x 0,20,2016
Serie C,Guarani / SP,Boa / MG,1 x 1,20,2016
Serie C,Boa / MG,Guarani / SP,3 x 0,20,2016
Serie C,Moto Club / MA,Sampaio Correa / MA,1 x 2,1,2017
Serie C,Csa / AL,Asa / AL,3 x 0,1,2017
Serie C,Botafogo / PB,Cuiabá / MT,0 x 0,1,2017
Serie C,Confiança / SE,Salgueiro / PE,2 x 1,1,2017
Serie C,Remo / PA,Fortaleza / CE,1 x 0,1,2017
Serie C,Bragantino / SP,Botafogo / SP,2 x 2,1,2017
Serie C,Volta Redonda / RJ,Macaé / RJ,3 x 1,1,2017
Serie C,Tombense / MG,Tupi / MG,1 x 1,1,2017
Serie C,Mogi Mirim / SP,São Bento / SP,0 x 0,1,2017
Serie C,Ypiranga / RS,Joinville / SC,2 x 2,1,2017
Serie C,Sampaio Correa / MA,Csa / AL,0 x 2,2,2017
Serie C,Asa / AL,Remo / PA,1 x 0,2,2017
Serie C,Cuiabá / MT,Confiança / SE,1 x 2,2,2017
Serie C,Salgueiro / PE,Moto Club / MA,2 x 0,2,2017
Serie C,Fortaleza / CE,Botafogo / PB,1 x 0,2,2017
Serie C,Botafogo / SP,Mogi Mirim / SP,2 x 0,2,2017
Serie C,Macaé / RJ,Bragantino / SP,1 x 0,2,2017
Serie C,Tupi / MG,Ypiranga / RS,0 x 2,2,2017
Serie C,São Bento / SP,Tombense / MG,2 x 1,2,2017
Serie C,Joinville / SC,Volta Redonda / RJ,2 x 0,2,2017
Serie C,Moto Club / MA,Confiança / SE,4 x 0,3,2017
Serie C,Asa / AL,Sampaio Correa / MA,0 x 1,3,2017
Serie C,Botafogo / PB,Csa / AL,2 x 0,3,2017
Serie C,Salgueiro / PE,Fortaleza / CE,1 x 2,3,2017
Serie C,Remo / PA,Cuiabá / MT,1 x 1,3,2017
Serie C,Bragantino / SP,Ypiranga / RS,1 x 0,3,2017
Serie C,Volta Redonda / RJ,Botafogo / SP,2 x 0,3,2017
Serie C,Tombense / MG,Mogi Mirim / SP,2 x 1,3,2017
Serie C,São Bento / SP,Macaé / RJ,2 x 1,3,2017
Serie C,Joinville / SC,Tupi / MG,1 x 1,3,2017
Serie C,Sampaio Correa / MA,Cuiabá / MT,1 x 1,4,2017
Serie C,Csa / AL,Moto Club / MA,2 x 1,4,2017
Serie C,Botafogo / PB,Salgueiro / PE,1 x 0,4,2017
Serie C,Confiança / SE,Remo / PA,0 x 1,4,2017
Serie C,Fortaleza / CE,Asa / AL,3 x 0,4,2017
Serie C,Botafogo / SP,Joinville / SC,3 x 0,4,2017
Serie C,Volta Redonda / RJ,Tombense / MG,2 x 0,4,2017
Serie C,Tupi / MG,São Bento / SP,1 x 0,4,2017
Serie C,Mogi Mirim / SP,Bragantino / SP,2 x 4,4,2017
Serie C,Ypiranga / RS,Macaé / RJ,1 x 1,4,2017
Serie C,Moto Club / MA,Botafogo / PB,0 x 0,5,2017
Serie C,Asa / AL,Salgueiro / PE,1 x 1,5,2017
Serie C,Cuiabá / MT,Fortaleza / CE,2 x 2,5,2017
Serie C,Confiança / SE,Sampaio Correa / MA,2 x 2,5,2017
Serie C,Remo / PA,Csa / AL,1 x 1,5,2017
Serie C,Bragantino / SP,Volta Redonda / RJ,1 x 1,5,2017
Serie C,Macaé / RJ,Tupi / MG,1 x 3,5,2017
Serie C,Tombense / MG,Joinville / SC,2 x 2,5,2017
Serie C,São Bento / SP,Botafogo / SP,0 x 0,5,2017
Serie C,Ypiranga / RS,Mogi Mirim / SP,2 x 0,5,2017
Serie C,Moto Club / MA,Asa / AL,1 x 1,6,2017
Serie C,Csa / AL,Confiança / SE,1 x 1,6,2017
Serie C,Botafogo / PB,Remo / PA,3 x 2,6,2017
Serie C,Salgueiro / PE,Cuiabá / MT,1 x 1,6,2017
Serie C,Fortaleza / CE,Sampaio Correa / MA,3 x 0,6,2017
Serie C,Botafogo / SP,Macaé / RJ,3 x 0,6,2017
Serie C,Volta Redonda / RJ,Ypiranga / RS,0 x 0,6,2017
Serie C,Tombense / MG,Bragantino / SP,0 x 0,6,2017
Serie C,Mogi Mirim / SP,Tupi / MG,2 x 0,6,2017
